title,description,creator,recipient,date,date-is-approximate,latitude,longitude,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,cdmid,objectid,youtubeid,object_thumb,object_download,reference_url
"Morris McCollum, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-05interview","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","587","tchp587","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/587","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/587","erika-b.github.io/tchp_dev/items/tchp587.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-05bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","588","tchp588","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/588","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/588.pdf","erika-b.github.io/tchp_dev/items/tchp588.html"
"Morris McCollum: Tacoma&#39;s Hilltop Community Icon","Mr. Morris McCollum, &quot;Mr. Mac&quot; as he affectionately known, is one of Tacoma&#39;s most respected business and community leaders. He is certainly one of the longest lasting. Shortly after arriving in Tacoma in 1957 Mr. McCollum purchased the K Street Department Store which was located on the corner of 12th and K. He operated the store for several years. At the time the K Street business sector, one of the city&#39;s twelve business districts, was second only to downtown Tacoma in terms of business activity. Businesses such as hardware stores, banks, small department stores, appliance dealers, butchers, markets, cleaners, clothing stores, and restaurants lined the streets. In 1960, he moved to 11th and Broadway and opened what to become the quintessential men&#39;s store &quot;Mac the Knife,&quot; later shortened to &quot;Mr. Mac&#39;s.&quot; At the time the Tacoma business district was being adversely affected by the building of the Tacoma Mall which would, after its completion, lure many of the surrounding businesses to it. Mr. Mac stayed, however, and became president of the K Street Booster Club, an organization dedicated to promoting the interests of small family owned businesses and the community that surrounded them. In addition to having an active interest in the business community Mr. McCollum also became dedicated to the areas youths and his interests in sports, boxing in particular, lead him to becoming involved with the Tacoma Athletic Commission, eventually becoming its president in 1978. Recognized by the city of Tacoma with the 2004 Martin Luther King Jr. award Mr. McCollum remains a leading figure.","","","2015","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-05","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","","cpd","","","589","tchp589","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/589","","erika-b.github.io/tchp_dev/items/tchp589.html"
"Joshua Wright, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-06essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","590","tchp590","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/590","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/590.pdf","erika-b.github.io/tchp_dev/items/tchp590.html"
"Peter Marsh, transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-06transcript","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","591","tchp591","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/591","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/591.pdf","erika-b.github.io/tchp_dev/items/tchp591.html"
"Peter Marsh, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-06interview","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","592","tchp592","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/592","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/592","erika-b.github.io/tchp_dev/items/tchp592.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-06bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","593","tchp593","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/593","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/593.pdf","erika-b.github.io/tchp_dev/items/tchp593.html"
"Upholding the Hippocratic Oath: A Story of Medicine in Tacoma and its Fight Against AIDS","From the very beginning, Tacoma was met with illness in the form of typhoid. Disease would continue to wage war against the residents of the City of Destiny until the Fannie C. Paddock Memorial Hospital and St. Joseph Hospital were built in 1882 and 1891, respectively. Both organizations developed meaningful relationships with their community and ignited a behind-the-scenes competition which would benefit both patient and physician. Almost 100 years later, Tacoma was cared for predominantly by primary care physicians. It had just started to see an influx of medical specialists via Madigan Army Medical Center when the city was hit by HIV in 1983. With no effective cure at the time, Tacoma did its best to cope with the disease and its associated complications, and the infectious disease specialists were on the forefront. One of these few physicians was Dr. Peter Marsh. Born in  Chicago in 1949, he was inspired to become a doctor as a young boy by the Dr. Kildare film series. Arriving in Tacoma in 1981, he would find himself in the middle of handling the AIDS epidemic, supporting patients as best as he could before they succumbed to the disease; that is, until the introduction of antiretroviral medications. Now able to effectively cure patients, Dr. Marsh found new life in his work and continued to serve his community until retirement in 2015. With the epidemic under control, Tacoma still utilizes what it learned from that chaotic era to stand prepared for anything thrown its way.","","","2015","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-06","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","","cpd","","","594","tchp594","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/594","","erika-b.github.io/tchp_dev/items/tchp594.html"
"Thanh Huynh, portrait","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-07portrait","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","595","tchp595","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/595","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/595/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp595.html"
"Nhung Huynh, portrait","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-07portrait","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","596","tchp596","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/596","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/596/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp596.html"
"Jennifer Nguyuen, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-07essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","597","tchp597","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/597","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/597.pdf","erika-b.github.io/tchp_dev/items/tchp597.html"
"Thanh Huynh, transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-07transcript","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","598","tchp598","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/598","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/598.pdf","erika-b.github.io/tchp_dev/items/tchp598.html"
"Thanh Huynh, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-07interview","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","mp","","","599","tchp599","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/599","","erika-b.github.io/tchp_dev/items/tchp599.html"
"Nhung Huynh, transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-07transcript","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","600","tchp600","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/600","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/600.pdf","erika-b.github.io/tchp_dev/items/tchp600.html"
"Nhung Huynh, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-07interview","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","601","tchp601","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/601","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/601","erika-b.github.io/tchp_dev/items/tchp601.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-07bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","602","tchp602","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/602","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/602.pdf","erika-b.github.io/tchp_dev/items/tchp602.html"
"Blood, Sweat, and Tears: Nhung and Thanh Huynh&#39;s Oral History","In 1973 the war in Vietnam had ended for the United States and by 1975 the Vietnam War had effectively ended altogether. Following the end Vietnam War, the life of the South Vietnamese people would be disrupted and the new regime in Vietnam would implement harsh new laws and regulations against the South Vietnamese population to stabilize the new government. The chaos towards the end of the Vietnam War led to the United States to accept large numbers of Vietnamese refugees into the country. Did the United States do enough to help the refugees, or did their concerns go unheard? The purpose of this oral history project is to gain thoughtful information about the perspectives of Vietnamese refugees and their trials and tribulations during their voyage to freedom and once they arrived to America. This oral history project includes personal stories of Nhung Huynh and Thanh Huynh&#39;s refugees escaping on boat and their lives while waiting to resettle in America.","","","2015","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-07","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","","cpd","","","603","tchp603","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/603","","erika-b.github.io/tchp_dev/items/tchp603.html"
"Jack McQuade, portrait","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-08portrait","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","604","tchp604","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/604","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/604/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp604.html"
"Alex Jaber, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-08essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","605","tchp605","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/605","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/605.pdf","erika-b.github.io/tchp_dev/items/tchp605.html"
"Jack McQuade, transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-08transcript","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","606","tchp606","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/606","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/606.pdf","erika-b.github.io/tchp_dev/items/tchp606.html"
"Jack McQuade, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-08interview","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","607","tchp607","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/607","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/607","erika-b.github.io/tchp_dev/items/tchp607.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-08bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","608","tchp608","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/608","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/608.pdf","erika-b.github.io/tchp_dev/items/tchp608.html"
"Jack McQuade: Renewal of Historic Swiss Pub Coincides with Growth of the University of Washington Tacoma","This project is comprised of an oral interview, recorded and transcribed, with Mr. Jack McQuade, co-owner of The Swiss pub, located at 1904 Jefferson Avenue, Tacoma, WA. The research paper investigates the factors involved when Mr. McQuade started this business during the early 1990&#39;s, as well as, examining how this  helped revitalize and preserve the south downtown Tacoma setting on the UW Tacoma campus. The Swiss is a first-rate location for inspection due to its existence for over 100 years. Mr. McQuade has been the owner for as long as UW&#39;s 46 acre downtown campus has been in existence, his insight provides invaluable perspective on the transition over last 25 years of both the campus and his business in relation to one another.","","","2015","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-08","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","","cpd","","","609","tchp609","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/609","","erika-b.github.io/tchp_dev/items/tchp609.html"
"Eric Rader, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-09essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","610","tchp610","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/610","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/610.pdf","erika-b.github.io/tchp_dev/items/tchp610.html"
"Floyd Olson, transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-09transcript","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","611","tchp611","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/611","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/611.pdf","erika-b.github.io/tchp_dev/items/tchp611.html"
"Floyd Olson, audio1","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-09audio01","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","612","tchp612","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/612","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/612","erika-b.github.io/tchp_dev/items/tchp612.html"
"Floyd Olson, audio2","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-09audio02","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","613","tchp613","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/613","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/613","erika-b.github.io/tchp_dev/items/tchp613.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-09bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","614","tchp614","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/614","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/614.pdf","erika-b.github.io/tchp_dev/items/tchp614.html"
"South Tacoma Then and Now","The purpose of this oral history was to interview Floyd Olson in order to capture his perspective and memories as they pertain to the South Tacoma Business District and how it was transformed due to the construction of I-5 and the Tacoma Mall. Mr. Olson is a lifelong South Tacoma resident and has vivid memories of the time both before and after I-5 and the Mall. As of yet the Tacoma Community History Project has no oral history pertaining to South Tacoma; thus it is an aim of this project to resolve that omission. The methodology used was a personal interview with Mr. Olson using pre-conceived, open-ended questions based on prior research. The interview was conducted in such a manner so as to be as respectful to Mr. Olson while at the same time keeping the focus of the interview on the changes and history of South Tacoma. The results of the interview show that indeed prior to I-5 and the Mall the South Tacoma Business District was a thriving, wholesome area that catered to the everyday needs of the surrounding residents. However, the completions of I-5 and the Mall undoubtedly altered the atmosphere of the area; Mr. Olson can attest to these changes. The implications of this oral history are in laying the foundation for future studies on South Tacoma.","","","2015","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-09","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","","cpd","","","615","tchp615","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/615","","erika-b.github.io/tchp_dev/items/tchp615.html"
"Miguel Douglas, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2015-03essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text;","application/pdf","","","616","tchp616","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/616","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/616.pdf","erika-b.github.io/tchp_dev/items/tchp616.html"
"Karin Crelling, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-01_essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","617","tchp617","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/617","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/617.pdf","erika-b.github.io/tchp_dev/items/tchp617.html"
"Gary Emmons, transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-01_transcript","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","618","tchp618","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/618","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/618.pdf","erika-b.github.io/tchp_dev/items/tchp618.html"
"Gary Emmons, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-01_interview","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","619","tchp619","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/619","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/619","erika-b.github.io/tchp_dev/items/tchp619.html"
"Karin Crelling, appendix","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-01_appendix","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text; Images","application/pdf","","","620","tchp620","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/620","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/620.pdf","erika-b.github.io/tchp_dev/items/tchp620.html"
"Telegrapher for the Northern Pacific Railway in Tacoma","Gary Emmons was in a unique position in the 1960s, working for the Northern Pacific Railway as a telegrapher. He was witness to the change from manpower to computers. The telegraph station at McCarver Street in Tacoma, Washington was one of the most important stations in the area. Trains would not leave Tacoma, unless they had received their instructions from this station. This paper will provide a brief history of not just the McCarver Street station, and how it operated, but also other institutions, that were intricately connected to the Northern Pacific Railway here in Tacoma; institutions such as McKinley Hill Hospital, the Great Tacoma Shops, Union Station and, very briefly, the decline and the revival of downtown Tacoma and the restoration of Union Station, as well as the present campus of the University of Washington, Tacoma. This research will cover a span from approximately 1910 to 2000 and follows loosely the interview conducted with Col. Gary Emmons, USAF, Ret.","","","2017","","","","","xyz","","","University of Washington Tacoma Community History Project","","chp2017-01","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","","cpd","","","621","tchp621","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/621","","erika-b.github.io/tchp_dev/items/tchp621.html"
"Katherine Jennison, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-02_essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","622","tchp622","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/622","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/622.pdf","erika-b.github.io/tchp_dev/items/tchp622.html"
"Willie Stewart, audio 1","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-02_interview1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","623","tchp623","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/623","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/623","erika-b.github.io/tchp_dev/items/tchp623.html"
"Willie Stewart, transcript 1","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-02_transcript1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","624","tchp624","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/624","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/624.pdf","erika-b.github.io/tchp_dev/items/tchp624.html"
"Willie Stewart, audio 2","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-02_interview2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","625","tchp625","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/625","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/625","erika-b.github.io/tchp_dev/items/tchp625.html"
"Willie Stewart, transcript 2","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-02_transcript2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","626","tchp626","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/626","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/626.pdf","erika-b.github.io/tchp_dev/items/tchp626.html"
"Project Bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-02_bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","627","tchp627","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/627","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/627.pdf","erika-b.github.io/tchp_dev/items/tchp627.html"
"Willie Stewart, appendix","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-02_appendix","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Images","application/pdf","","","628","tchp628","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/628","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/628.pdf","erika-b.github.io/tchp_dev/items/tchp628.html"
"When Races Collide: Willie Stewart and the Voluntary Desegregation of Tacoma Public Schools","On the heels of the Brown v. Board of Education decision and the Civil Rights Act of 1964, the Tacoma School District took voluntary measures to desegregate a select number of schools with high non-white enrollment. The district superintendent, Dr. Angelo Giaudrone, drew attention to the de facto segregation, and primarily focused on two elementary schools: Stanley Elementary, with a black population of 64 percent and McCarver Elementary, with a black population of 84 percent. In 1963, a subcommittee was formed to analyze and study the de facto segregation and provide recommendations for potential solutions. On July 8, 1966, a plan was announced by the school board for an optional enrollment program that relied on closing McCarver Junior High and to provide limited open enrollment to students affected by the closing. The district hired its first black principal, Willie Stewart, in 1970 in order to bridge the divide between the school district and the black community. Stewart led the summer counseling program to work with families on the transition between the closing of their neighborhood school and their new school of their choice. According to the United States Commission on Civil Rights a decade later, the summer counseling program was pivotal to the success of the voluntary desegregation program in the Tacoma School District.","","","2017","","","","","xyz","","","University of Washington Tacoma Community History Project","","chp2017-02","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","","cpd","","","629","tchp629","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/629","","erika-b.github.io/tchp_dev/items/tchp629.html"
"Laurie Arnold, portrait","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-03_portrait","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","630","tchp630","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/630","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/630/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp630.html"
"TeyAnjulee Leon, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-03_essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","631","tchp631","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/631","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/631.pdf","erika-b.github.io/tchp_dev/items/tchp631.html"
"Laurie Arnold, transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-03_transcript","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","632","tchp632","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/632","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/632.pdf","erika-b.github.io/tchp_dev/items/tchp632.html"
"Laurie Arnold, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-03_interview","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","633","tchp633","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/633","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/633","erika-b.github.io/tchp_dev/items/tchp633.html"
"Project Bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-03_bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","634","tchp634","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/634","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/634.pdf","erika-b.github.io/tchp_dev/items/tchp634.html"
"Perspectives on Tacoma School Desegregation: From Wallflower to Rabble Rouser","The child of left leaning social activists, Laurie Arnold grew up during a time of great change in the country and the Tacoma community. The same year Laurie started first grade, McCarver Elementary in Tacoma became the first magnet school in the country and began the desegregation process of Tacoma Public Schools. Though Laurie only attended through fifth grade, her experiences there lasted a lifetime. Throughout her educational journey, Laurie attended many schools, and the one that remained clearest in her memory was McCarver. One of her fondest memories was Friday Activities, and she could still recall the teachers she had as well which teams she belonged to. Laurie lived in Hilltop most of her childhood and only spent about seven or eight years away before returning home to Tacoma for good. In that time, she lived and attended schools in Seattle until age fourteen. Roughly a month into her ninth grade year, Laurie dropped out of school and moved to Florida until age seventeen. Upon her return, Laurie completed her GED, Associate�s, Bachelor�s, and Master�s degrees all in the South Puget Sound region. She taught at the Tacoma Urban League for many years before she found her way to Bates Technical College where she currently works. Laurie continues to serve the Tacoma community and is a proud Hilltop native.","","","2017","","","","","xyz","","","University of Washington Tacoma Community History Project","","chp2017-03","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","","cpd","","","635","tchp635","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/635","","erika-b.github.io/tchp_dev/items/tchp635.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-04_bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","640","tchp640","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/640","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/640.pdf","erika-b.github.io/tchp_dev/items/tchp640.html"
"Rachael Williamson, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-06_essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","642","tchp642","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/642","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/642.pdf","erika-b.github.io/tchp_dev/items/tchp642.html"
"Nancy Shippentower-Games, transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-06_transcript","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","643","tchp643","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/643","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/643.pdf","erika-b.github.io/tchp_dev/items/tchp643.html"
